"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Datum und Vorlage";"Stimmberechtigte";"Abgegebene Stimmen";"Beteiligung in %";"Gültige Stimmzettel";"Ja";"Nein";"Ja in %"
"......Pampigny";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";710;357;50.3;347;115;232;33.1
"......Pompaples";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";475;254;53.5;249;103;146;41.4
"......La Sarraz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1384;737;53.3;729;282;447;38.7
"......Senarclens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";303;205;67.7;200;55;145;27.5
"......Sévery";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";154;86;55.8;86;29;57;33.7
"......Aclens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";303;183;60.4;180;54;126;30.0
"......Bremblens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";303;197;65.0;192;47;145;24.5
"......Buchillon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";389;267;68.6;264;58;206;22.0
"......Bussy-Chardonney";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";243;163;67.1;163;45;118;27.6
"......Chigny";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";191;120;62.8;118;28;90;23.7
"......Clarmont";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";107;59;55.1;59;18;41;30.5
"......Denens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";436;273;62.6;271;67;204;24.7
"......Denges";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";867;514;59.3;502;191;311;38.0
"......Echandens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1441;942;65.4;925;266;659;28.8
"......Echichens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1654;1019;61.6;1007;298;709;29.6
"......Etoy";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1411;802;56.8;782;254;528;32.5
"......Lavigny";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";483;320;66.3;311;86;225;27.7
"......Lonay";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1507;932;61.8;918;260;658;28.3
"......Lully (VD)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";475;311;65.5;303;89;214;29.4
"......Lussy-sur-Morges";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";408;238;58.3;233;66;167;28.3
"......Morges";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";8305;4565;55.0;4499;1670;2829;37.1
"......Préverenges";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2841;1604;56.5;1579;512;1067;32.4
"......Reverolle";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";236;154;65.3;151;51;100;33.8
"......Romanel-sur-Morges";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";332;224;67.5;220;45;175;20.5
"......Saint-Prex";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2705;1560;57.7;1538;464;1074;30.2
"......Tolochenaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";989;584;59.0;573;191;382;33.3
"......Vaux-sur-Morges";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";113;76;67.3;73;19;54;26.0
"......Villars-sous-Yens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";379;242;63.9;237;83;154;35.0
"......Vufflens-le-Château";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";492;338;68.7;336;75;261;22.3
"......Vullierens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";316;189;59.8;188;61;127;32.4
"......Yens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";740;479;64.7;475;115;360;24.2
"......Allaman";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";243;159;65.4;156;57;99;36.5
">> District de Nyon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";47761;27978;58.6;27486;8358;19128;30.4
"......Longirod";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";280;164;58.6;160;45;115;28.1
"......Marchissy";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";295;160;54.2;154;56;98;36.4
"......Saint-George";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";554;341;61.6;326;117;209;35.9
"......Arnex-sur-Nyon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";116;84;72.4;83;24;59;28.9
"......Arzier-Le Muids";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1339;779;58.2;770;236;534;30.6
"......Bassins";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";726;447;61.6;439;129;310;29.4
"......Begnins";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";957;558;58.3;552;183;369;33.2
"......Bogis-Bossey";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";432;258;59.7;255;49;206;19.2
"......Borex";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";488;301;61.7;297;64;233;21.5
"......Chavannes-de-Bogis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";583;335;57.5;329;73;256;22.2
"......Chavannes-des-Bois";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";368;258;70.1;256;65;191;25.4
"......Chéserex";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";724;465;64.2;463;114;349;24.6
"......Coinsins";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";254;159;62.6;158;49;109;31.0
"......Commugny";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1308;814;62.2;804;175;629;21.8
"......Coppet";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1426;878;61.6;864;202;662;23.4
"......Crans-près-Céligny";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1119;750;67.0;741;145;596;19.6
"......Crassier";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";563;348;61.8;342;82;260;24.0
"......Duillier";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";624;377;60.4;371;97;274;26.1
"......Eysins";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";714;407;57.0;399;121;278;30.3
"......Founex";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1415;841;59.4;832;191;641;23.0
"......Genolier";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";980;634;64.7;625;142;483;22.7
"......Gingins";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";674;420;62.3;416;86;330;20.7
"......Givrins";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";543;354;65.2;346;90;256;26.0
"......Gland";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6102;3295;54.0;3224;1114;2110;34.6
"......Grens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";210;129;61.4;128;46;82;35.9
"......Mies";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";880;486;55.2;482;108;374;22.4
"......Nyon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9540;5307;55.6;5193;2007;3186;38.6
"......Prangins";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2198;1325;60.3;1303;401;902;30.8
"......La Rippe";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";605;341;56.4;340;91;249;26.8
"......Saint-Cergue";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1282;680;53.0;659;256;403;38.8
"......Signy-Avenex";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";273;178;65.2;175;30;145;17.1
"......Tannay";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";768;491;63.9;484;150;334;31.0
"......Trélex";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";777;501;64.5;496;126;370;25.4
"......Le Vaud";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";758;474;62.5;466;153;313;32.8
"......Vich";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";446;276;61.9;273;95;178;34.8
"......Bursinel";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";245;146;59.6;146;39;107;26.7
"......Bursins";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";464;293;63.1;290;85;205;29.3
"......Burtigny";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";218;137;62.8;129;39;90;30.2
"......Dully";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";266;168;63.2;164;28;136;17.1
"......Essertines-sur-Rolle";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";365;234;64.1;227;51;176;22.5
"......Gilly";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";585;381;65.1;376;100;276;26.6
"......Luins";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";292;170;58.2;164;36;128;22.0
"......Mont-sur-Rolle";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1350;810;60.0;798;206;592;25.8
"......Perroy";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";755;451;59.7;441;136;305;30.8
"......Rolle";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2561;1357;53.0;1334;465;869;34.9
"......Tartegnin";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";134;98;73.1;95;33;62;34.7
"......Vinzel";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";205;118;57.6;117;28;89;23.9
">> District de l'Ouest lausannois";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";31290;15893;50.8;15550;6569;8981;42.2
"......Crissier";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3190;1689;52.9;1653;662;991;40.0
"......Prilly";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5741;2881;50.2;2794;1229;1565;44.0
"......Renens (VD)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";7960;3656;45.9;3587;1753;1834;48.9
"......Bussigny";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4246;2380;56.1;2324;920;1404;39.6
"......Chavannes-près-Renens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2722;1246;45.8;1230;590;640;48.0
"......Ecublens (VD)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5286;2680;50.7;2627;1067;1560;40.6
"......Saint-Sulpice (VD)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1732;1093;63.1;1075;275;800;25.6
"......Villars-Sainte-Croix";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";413;268;64.9;260;73;187;28.1
">> District de la Riviera-Pays-d'Enhaut";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";42520;22863;53.8;22471;7854;14617;35.0
"......Château-d'Oex";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2064;1006;48.7;992;289;703;29.1
"......Rossinière";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";369;182;49.3;182;46;136;25.3
"......Rougemont";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";493;240;48.7;237;45;192;19.0
"......Blonay";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3643;2199;60.4;2163;600;1563;27.7
"......Chardonne";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1752;1088;62.1;1061;347;714;32.7
"......Corseaux";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1351;869;64.3;856;214;642;25.0
"......Corsier-sur-Vevey";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1858;1061;57.1;1035;431;604;41.6
"......Jongny";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";871;584;67.0;571;185;386;32.4
"......Montreux";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";11554;5737;49.7;5643;2090;3553;37.0
"......Saint-Légier-La Chiésaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2976;1824;61.3;1801;449;1352;24.9
"......La Tour-de-Peilz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6418;3721;58.0;3660;1308;2352;35.7
"......Vevey";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";8664;4089;47.2;4011;1768;2243;44.1
"......Veytaux";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";507;263;51.9;259;82;177;31.7
"......VD-CH de l'étranger";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";15094;5123;33.9;5055;2451;2604;48.5
"- Valais / Wallis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";212264;122231;57.6;119658;39140;80518;32.7
">> Bezirk Brig";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";18788;9923;52.8;9775;3343;6432;34.2
"......Brig-Glis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9113;4637;50.9;4554;1498;3056;32.9
"......Eggerberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";280;159;56.8;158;64;94;40.5
"......Naters";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6927;3765;54.4;3723;1317;2406;35.4
"......Ried-Brig";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1472;792;53.8;777;266;511;34.2
"......Simplon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";284;156;54.9;153;53;100;34.6
"......Termen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";651;369;56.7;365;127;238;34.8
"......Zwischbergen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";61;45;73.8;45;18;27;40.0
">> District de Conthey";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";16238;9644;59.4;9411;2972;6439;31.6
"......Ardon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1506;880;58.4;850;259;591;30.5
"......Chamoson";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2221;1399;63.0;1368;410;958;30.0
"......Conthey";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5048;2864;56.7;2803;938;1865;33.5
"......Nendaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4350;2532;58.2;2478;772;1706;31.2
"......Vétroz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3113;1969;63.3;1912;593;1319;31.0
">> District d'Entremont";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9060;5580;61.6;5442;1475;3967;27.1
"......Bagnes";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4429;2492;56.3;2427;647;1780;26.7
"......Bourg-Saint-Pierre";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";140;103;73.6;101;30;71;29.7
"......Liddes";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";537;369;68.7;363;112;251;30.9
"......Orsières";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2123;1473;69.4;1438;357;1081;24.8
"......Sembrancher";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";620;380;61.3;367;117;250;31.9
"......Vollèges";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1211;763;63.0;746;212;534;28.4
">> Bezirk Goms";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3452;1853;53.7;1817;593;1224;32.6
"......Bellwald";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";299;181;60.5;177;69;108;39.0
"......Binn";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";113;51;45.1;50;12;38;24.0
"......Ernen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";434;218;50.2;213;83;130;39.0
"......Fiesch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";689;358;52.0;358;98;260;27.4
"......Fieschertal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";246;137;55.7;136;38;98;27.9
"......Lax";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";196;114;58.2;102;39;63;38.2
"......Obergoms";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";502;280;55.8;272;83;189;30.5
"......Goms";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";973;514;52.8;509;171;338;33.6
">> District d'Hérens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";7832;5310;67.8;5171;1661;3510;32.1
"......Ayent";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2759;1707;61.9;1650;631;1019;38.2
"......Evolène";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1324;1111;83.9;1086;330;756;30.4
"......Hérémence";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1124;782;69.6;774;178;596;23.0
"......Saint-Martin (VS)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";703;481;68.4;476;113;363;23.7
"......Vex";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1169;748;64.0;713;226;487;31.7
"......Mont-Noble";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";753;481;63.9;472;183;289;38.8
">> Bezirk Leuk";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";8801;5328;60.5;5229;1926;3303;36.8
"......Agarn";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";593;329;55.5;321;103;218;32.1
"......Albinen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";201;125;62.2;125;47;78;37.6
"......Ergisch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";166;128;77.1;124;44;80;35.5
"......Inden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";85;55;64.7;55;16;39;29.1
"......Leuk";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2752;1681;61.1;1651;705;946;42.7
"......Leukerbad";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";812;405;49.9;396;117;279;29.5
"......Oberems";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";97;47;48.5;46;27;19;58.7
"......Salgesch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";974;641;65.8;631;211;420;33.4
"......Varen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";488;285;58.4;283;87;196;30.7
"......Guttet-Feschel";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";333;175;52.6;169;68;101;40.2
"......Gampel-Bratsch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1434;946;66.0;930;331;599;35.6
"......Turtmann-Unterems";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";866;511;59.0;498;170;328;34.1
">> District de Martigny";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";26357;15852;60.1;15504;5068;10436;32.7
"......Bovernier";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";604;407;67.4;397;133;264;33.5
"......Charrat";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";845;550;65.1;538;199;339;37.0
"......Fully";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5079;3034;59.7;2957;979;1978;33.1
"......Isérables";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";717;408;56.9;399;135;264;33.8
"......Leytron";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2006;1333;66.5;1308;356;952;27.2
"......Martigny";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9605;5611;58.4;5509;1768;3741;32.1
"......Martigny-Combe";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1589;964;60.7;948;335;613;35.3
"......Riddes";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1625;1026;63.1;997;287;710;28.8
"......Saillon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1453;896;61.7;876;284;592;32.4
"......Saxon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2725;1542;56.6;1494;573;921;38.4
"......Trient";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";109;81;74.3;81;19;62;23.5
">> District de Monthey";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";25728;14506;56.4;14117;4418;9699;31.3
"......Champéry";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";786;471;59.9;460;139;321;30.2
"......Collombey-Muraz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4601;2419;52.6;2373;441;1932;18.6
"......Monthey";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9586;5280;55.1;5140;1784;3356;34.7
"......Port-Valais";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2103;1114;53.0;1087;408;679;37.5
"......Saint-Gingolph";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";623;375;60.2;365;163;202;44.7
"......Troistorrents";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3021;1856;61.4;1783;562;1221;31.5
"......Val-d'Illiez";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1223;764;62.5;740;236;504;31.9
"......Vionnaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1517;919;60.6;896;257;639;28.7
"......Vouvry";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2268;1308;57.7;1273;428;845;33.6
">> Bezirk Raron";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";8162;4498;55.1;4452;1511;2941;33.9
"......Bister";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";25;16;64.0;16;12;4;75.0
"......Bitsch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";642;364;56.7;364;137;227;37.6
"......Grengiols";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";356;150;42.1;150;66;84;44.0
"......Riederalp";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";345;183;53.0;180;62;118;34.4
"......Ausserberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";496;314;63.3;312;93;219;29.8
"......Blatten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";231;124;53.7;123;36;87;29.3
"......Bürchen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";576;307;53.3;302;96;206;31.8
"......Eischoll";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";382;210;55.0;210;79;131;37.6
"......Ferden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";214;103;48.1;102;49;53;48.0
"......Kippel";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";303;174;57.4;171;44;127;25.7
"......Niedergesteln";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";517;302;58.4;301;104;197;34.6
"......Raron";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1302;692;53.1;675;221;454;32.7
"......Unterbäch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";335;161;48.1;161;49;112;30.4
"......Wiler (Lötschen)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";412;232;56.3;225;58;167;25.8
"......Mörel-Filet";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";512;292;57.0;290;107;183;36.9
"......Steg-Hohtenn";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1178;724;61.5;721;251;470;34.8
"......Bettmeralp";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";336;150;44.6;149;47;102;31.5
">> District de Saint-Maurice";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";8221;4936;60.0;4849;1737;3112;35.8
"......Collonges";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";463;265;57.2;260;100;160;38.5
"......Dorénaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";538;352;65.4;344;121;223;35.2
"......Evionnaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";797;477;59.8;465;189;276;40.6
"......Finhaut";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";260;171;65.8;168;79;89;47.0
"......Massongex";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1079;489;45.3;482;140;342;29.0
"......Saint-Maurice";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2576;1606;62.3;1577;569;1008;36.1
"......Salvan";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";945;584;61.8;578;203;375;35.1
"......Vernayaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1087;681;62.6;670;247;423;36.9
"......Vérossaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";476;311;65.3;305;89;216;29.2
">> District de Sierre";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";28602;17318;60.5;16972;5626;11346;33.1
"......Chalais";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2232;1358;60.8;1322;480;842;36.3
"......Chippis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";763;466;61.1;456;218;238;47.8
"......Grône";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1510;896;59.3;881;315;566;35.8
"......Icogne";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";379;221;58.3;216;91;125;42.1
"......Lens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2282;1485;65.1;1456;376;1080;25.8
"......Miège";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";881;542;61.5;537;201;336;37.4
"......Saint-Léonard";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1452;971;66.9;958;263;695;27.5
"......Sierre";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9944;5608;56.4;5462;1945;3517;35.6
"......Venthône";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";871;608;69.8;592;196;396;33.1
"......Veyras";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1203;782;65.0;766;265;501;34.6
"......Anniviers";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1755;1089;62.1;1079;298;781;27.6
"......Crans-Montana";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5330;3292;61.8;3247;978;2269;30.1
">> District de Sion";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";28134;16506;58.7;16174;5228;10946;32.3
"......Arbaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";798;459;57.5;455;143;312;31.4
"......Grimisuat";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2018;1347;66.7;1319;404;915;30.6
"......Savièse";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4955;3156;63.7;3117;970;2147;31.1
"......Sion";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";19956;11361;56.9;11103;3648;7455;32.9
"......Veysonnaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";407;183;45.0;180;63;117;35.0
">> Bezirk Visp";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";18441;9443;51.2;9286;2904;6382;31.3
"......Baltschieder";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";906;465;51.3;456;171;285;37.5
