"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Datum und Vorlage";"Stimmberechtigte";"Abgegebene Stimmen";"Beteiligung in %";"Gültige Stimmzettel";"Ja";"Nein";"Ja in %"
"......Bubikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4892;2872;58.7;2855;904;1951;31.7
"......Dürnten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4771;2632;55.2;2612;779;1833;29.8
"......Fischenthal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1616;852;52.7;847;308;539;36.4
"......Gossau (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6834;3874;56.7;3851;1140;2711;29.6
"......Grüningen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2324;1574;67.7;1555;457;1098;29.4
"......Hinwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";7406;4041;54.6;4009;1221;2788;30.5
"......Rüti (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";7708;4027;52.2;4003;1384;2619;34.6
"......Seegräben";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";878;557;63.4;555;171;384;30.8
"......Wald (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5803;2974;51.2;2943;1039;1904;35.3
"......Wetzikon (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";14819;7251;48.9;7187;2472;4715;34.4
">> Bezirk Horgen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";74830;43284;57.8;42939;12011;30928;28.0
"......Adliswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";10382;5626;54.2;5573;1701;3872;30.5
"......Hütten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";675;349;51.7;347;94;253;27.1
"......Kilchberg (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4726;2996;63.4;2977;589;2388;19.8
"......Langnau am Albis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4551;2566;56.4;2549;709;1840;27.8
"......Oberrieden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3473;2266;65.2;2248;590;1658;26.2
"......Richterswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";8511;4984;58.6;4937;1474;3463;29.9
"......Rüschlikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3430;2130;62.1;2116;422;1694;19.9
"......Schönenberg (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1431;870;60.8;859;195;664;22.7
"......Thalwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";10976;6468;58.9;6425;1781;4644;27.7
"......Wädenswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";13599;7765;57.1;7704;2457;5247;31.9
"......Horgen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";13076;7264;55.6;7204;1999;5205;27.7
">> Bezirk Meilen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";65747;40591;61.7;40330;9509;30821;23.6
"......Erlenbach (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3487;2266;65.0;2257;448;1809;19.8
"......Herrliberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4105;2732;66.6;2707;460;2247;17.0
"......Hombrechtikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5456;3006;55.1;2989;871;2118;29.1
"......Küsnacht (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9093;5823;64.0;5792;1127;4665;19.5
"......Männedorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";7213;4403;61.0;4367;1221;3146;28.0
"......Meilen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";8616;5147;59.7;5105;1133;3972;22.2
"......Oetwil am See";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2662;1267;47.6;1254;405;849;32.3
"......Stäfa";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9544;6051;63.4;6007;1746;4261;29.1
"......Uetikon am See";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3973;2446;61.6;2435;659;1776;27.1
"......Zumikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3340;2228;66.7;2224;341;1883;15.3
"......Zollikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";8258;5222;63.2;5193;1098;4095;21.1
">> Bezirk Pfäffikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";38824;22280;57.4;22077;6929;15148;31.4
"......Fehraltorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4208;2318;55.1;2308;662;1646;28.7
"......Hittnau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2602;1521;58.5;1503;478;1025;31.8
"......Lindau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3360;2031;60.4;2014;607;1407;30.1
"......Pfäffikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";7449;4278;57.4;4240;1438;2802;33.9
"......Russikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2956;1747;59.1;1736;428;1308;24.7
"......Weisslingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2321;1439;62.0;1425;375;1050;26.3
