commune,vote_yes,vote_no,turnout_perc,canton,canton_name,bfsnr,n_taxed,mean_income,median_income,gini-coeff,percent_yes
Reigoldswil,205,317,46.6,BL,Basel-Landschaft,2893,954,41286.3114924091,40316.6666666667,0.360755582243619,0.39272030651341
Oppligen,99,153,50.4,BE,Bern / Berne,622,394,42140.6627434296,40300,0.370615385083382,0.392857142857143
Léchelles,103,159,57.39,FR,Fribourg / Freiburg,2024,461,44547.9071366701,41000,0.407998050619066,0.393129770992366
Scherz,103,159,54.68,AG,Aargau,4113,381,48280.257315592,45400,0.344246200190049,0.393129770992366
Chêne-Pâquier,24,37,64.89,VD,Vaud,5908,77,41064.076426978,33375,0.423974423523096,0.39344262295082
Bäriswil,181,279,56.63,BE,Bern / Berne,403,647,50022.3141428818,45800,0.389014801759284,0.393478260869565
Remaufens,133,205,55,FR,Fribourg / Freiburg,2333,548,46636.4592027205,43712.8205128205,0.347838547565677,0.393491124260355
Chapelle (Glâne),37,57,54.02,FR,Fribourg / Freiburg,2066,151,44469.4640195468,43100,0.371360411050653,0.393617021276596
Treycovagnes,74,114,56.89,VD,Vaud,5931,282,45664.5104637009,41783.3333333333,0.387552453010007,0.393617021276596
Confignon,657,1012,62.8,GE,Genève,6618,2426,59539.5147759227,49069.7115384615,0.483792560269103,0.393648891551827
Orselina,124,191,57.63,TI,Ticino,5121,613,46973.4282159445,33800,0.53047443043204,0.393650793650794
Villarepos,87,134,53.43,FR,Fribourg / Freiburg,2279,352,47825.3354657343,44563.4920634921,0.351145399356438,0.393665158371041
Turgi,269,414,45.61,AG,Aargau,4042,1755,45553.5323488844,43500,0.357927992540015,0.393850658857979
Stocken-Höfen,156,240,51.9866666666667,BE,Bern / Berne,770,591,37350.7354795292,37400,0.372676233287742,0.393939393939394
Sorengo,223,343,58.33,TI,Ticino,5225,983,66106.9180816556,41761.9047619048,0.573830110149309,0.393992932862191
Rossemaison,119,183,71.98,JU,Jura,6721,359,44902.6362547382,41384.6153846154,0.421468816509419,0.394039735099338
Recherswil,283,435,54.1,SO,Solothurn,2530,1097,45741.4934801144,44866.6666666667,0.317380943997746,0.394150417827298
Gelterfingen,41,63,48.39,BE,Bern / Berne,865,167,41956.9832252467,42238.0952380952,0.317232010738718,0.394230769230769
Cadempino,179,275,51.5,TI,Ticino,5162,906,47834.8191531734,40242.8571428572,0.442456830274571,0.394273127753304
La Sonnaz,147,225,54.26,FR,Fribourg / Freiburg,2235,579,46430.7584994216,44153.8461538462,0.389273876719012,0.395161290322581
Scheuren,66,101,48.3,BE,Bern / Berne,747,285,41800.0583188741,41095.2380952381,0.362034092081195,0.395209580838323
Gerlafingen,464,710,45.7,SO,Solothurn,2519,2963,39146.8020332362,38200,0.368200524101161,0.395229982964225
Langnau im Emmental,1270,1943,45.48,BE,Bern / Berne,902,5720,38951.1186873112,37400,0.36303689441748,0.395269218798631
Carrouge (VD),134,205,53.85,VD,Vaud,5782,604,45435.5983751832,44466.6666666667,0.34524748314933,0.395280235988201
Belprahon,87,133,90.65,BE,Bern / Berne,681,196,43530.8829359615,39746.1538461538,0.411018531535501,0.395454545454545
Radelfingen,197,301,50.96,BE,Bern / Berne,309,774,44583.2846573328,41816.6666666667,0.353309375690592,0.395582329317269
Rueyres,36,55,56.44,VD,Vaud,5534,130,49217.1072878613,48023.8095238095,0.310721672425778,0.395604395604396
Russy,38,58,56.32,FR,Fribourg / Freiburg,2040,138,43289.3541375426,41650,0.342517901072658,0.395833333333333
Bussigny,920,1404,56.05,VD,Vaud,5624,4539,47402.4622678574,44769.2307692308,0.364545528218408,0.395869191049914
Himmelried,175,267,60.4,SO,Solothurn,2618,582,51108.5539340502,43516.6666666667,0.408620116791543,0.395927601809955
Inkwil,101,154,49.9,BE,Bern / Berne,980,425,41995.4697068211,40769.2307692308,0.355628925094476,0.396078431372549
Boncourt,244,372,61.46,JU,Jura,6774,816,43899.4053683102,42261.1111111111,0.421505999809868,0.396103896103896
Wallenried,63,96,51.24,FR,Fribourg / Freiburg,2283,244,43077.5734358753,40616.6666666667,0.380216896815877,0.39622641509434
Versoix,1071,1631,48,GE,Genève,6644,6646,50372.4477599468,38066.6666666667,0.535387310009367,0.396373056994819
Sent,134,204,46.79,GR,Graubünden / Grigioni / Grisch,3763,567,38898.443995093,35769.2307692308,0.416191288293352,0.396449704142012
Yvonand,431,656,57.55,VD,Vaud,5939,1835,42230.1645835985,39866.6666666667,0.378270894669994,0.396504139834407
Läufelfingen,188,286,51.4,BL,Basel-Landschaft,2852,768,46189.4371508895,42316.6666666667,0.39663539789286,0.39662447257384
Rehetobel,308,468,60.7,AR,Appenzell Ausserrhoden,3034,1047,45265.9336704617,40100,0.416019600036715,0.396907216494845
Bangerten,27,41,53.85,BE,Bern / Berne,532,101,43642.4551318637,37866.6666666667,0.383270838866721,0.397058823529412
Corserey,56,85,55.89,FR,Fribourg / Freiburg,2185,226,44225.3155994801,42400,0.374525066708755,0.397163120567376
Oberhof,93,141,55.76,AG,Aargau,4173,323,44758.9560167652,42333.3333333333,0.348261947846524,0.397435897435897
Chavannes-sur-Moudon,35,53,56.79,VD,Vaud,5665,126,41221.7383822125,38583.3333333333,0.3689117228379,0.397727272727273
Giffers,218,330,50.59,FR,Fribourg / Freiburg,2294,882,43666.8475211276,41000,0.326619337237514,0.397810218978102
Les Verrières,115,174,51,NE,Neuchâtel,6511,442,36622.3360858929,31750,0.404255451893793,0.397923875432526
Massonnens,78,118,59.82,FR,Fribourg / Freiburg,2086,273,38263.5781292375,37900,0.367759217381916,0.397959183673469
Bernex,1369,2065,58.3,GE,Genève,6607,5651,58339.9974069855,50600,0.461176630798604,0.398660454280722
Gsteigwiler,61,92,47.32,BE,Bern / Berne,577,284,35600.8556285984,33500,0.406434539916297,0.398692810457516
Fideris,79,119,42.95,GR,Graubünden / Grigioni / Grisch,3861,359,37772.7975212655,36400,0.366183150078211,0.398989898989899
Grub (AR),158,238,54.7,AR,Appenzell Ausserrhoden,3031,618,41027.8460258223,37516.6666666667,0.378682219191808,0.398989898989899
Birsfelden,1223,1841,47.3,BL,Basel-Landschaft,2766,6568,46869.9277516758,44566.6666666667,0.352767476182756,0.399151436031332
Rheinau,224,337,62.26,ZH,Zürich,38,799,46629.0251009144,45000,0.37833886309347,0.399286987522282
Forst-Längenbühl,135,203,58.38,BE,Bern / Berne,948,479,35954.2926629524,34833.3333333333,0.389121018550443,0.399408284023669
Aranno,44,66,48.7,TI,Ticino,5143,207,42073.2545058505,34300,0.465824752845692,0.4
Ederswiler,22,33,54.81,JU,Jura,6713,82,36027.6761517615,34700,0.298808177115425,0.4
Farnern,34,51,52.15,BE,Bern / Berne,975,130,42589.5726495727,36683.3333333333,0.3886359794268,0.4
Grafschaft,36,54,58.06,VS,Valais / Wallis,6073,155,26961.5654417267,24600,0.483422822812386,0.4
Gresso,14,21,79.55,TI,Ticino,5109,32,32180.525030525,27428.5714285714,0.367203870001821,0.4
Rümligen,82,123,58.43,BE,Bern / Berne,881,273,43090.0618103915,41000,0.349160013383164,0.4
Saicourt,132,198,74.12,BE,Bern / Berne,706,383,37748.989385962,38000,0.357498437341539,0.4
Wileroltigen,46,69,41.58,BE,Bern / Berne,671,225,39591.2652678705,37066.6666666667,0.37914191858175,0.4
Zwischbergen,18,27,73.77,VS,Valais / Wallis,6011,70,35441.9302721088,33407.1428571429,0.410122060664855,0.4
Lauperswil,355,532,41.46,BE,Bern / Berne,903,1655,35176.376762846,33900,0.369019407426745,0.400225479143179
Crissier,662,991,52.95,VD,Vaud,5583,3968,44031.1822944646,39938.8888888889,0.414374941508715,0.400483968542045
Gempen,141,211,64.1,SO,Solothurn,2474,522,53333.8831222943,50814.2857142857,0.41162007429819,0.400568181818182
Oron,661,989,52.95,VD,Vaud,5805,2944,42006.4815771467,38000,0.393734759511434,0.400606060606061
Zumholz,69,103,53.17,FR,Fribourg / Freiburg,2310,265,35817.624045196,35800,0.337822729931847,0.401162790697674
Airolo,223,332,54.9,TI,Ticino,5061,971,41134.9673613306,39066.6666666667,0.367451281935748,0.401801801801802
Develier,260,387,67.48,JU,Jura,6712,842,40120.9110174817,37288.8888888889,0.427453362668086,0.401854714064915
Berolle,43,64,56.63,VD,Vaud,5424,167,51568.3364923004,48733.3333333333,0.421160791231495,0.401869158878505
Semsales,187,278,52.25,FR,Fribourg / Freiburg,2336,813,45197.3152932619,41466.6666666667,0.370317847272661,0.402150537634409
Cressier (NE),282,419,61,NE,Neuchâtel,6452,1106,41242.4751601729,41650,0.368873960461347,0.40228245363766
